I,slug,views,revenue,rpm,cpm,viewability,fillRate,impressionsPerPageview
185,/article/hugh-jackman-response-channing-tatum-comment-deadpool-3-rumor,1506,33.08,21.96,1.9,0.65,0.9,11.52
186,/article/x-men-97-episode-3-mister-sinister-return,1484,30.47,20.53,1.91,0.71,0.9,10.73
187,/article/ragna-crimson-second-cour-english-dub-release-date-confirmed,1474,29.39,19.94,1.8,0.65,0.86,11.04
188,/article/jean-doe-impostor-x-men-97,1432,28.69,20.04,1.99,0.69,0.92,10.06
189,/article/x-men-97-episode-3-jean-grey-clone-cliffhanger,1428,28.57,20.01,1.98,0.72,0.92,10.1
190,/article/game-of-thrones-showrunners-potential-star-wars-return,1422,32.68,22.98,1.85,0.67,0.91,12.38
191,/article/ayanokoji-vs-sakayanagi-chess-match-who-won-classroom-of-the-elite,1422,6.23,4.38,0.91,0.68,0.58,4.81
192,/article/where-does-spy-x-family-anime-end-in-manga,1417,9.4,6.63,1.09,0.57,0.68,6.07
193,/article/is-father-gabriel-completely-blind-the-ones-who-live,1414,22.57,15.96,1.71,0.73,0.9,9.33
194,/article/we-were-the-lucky-ones-true-story,1413,20.55,14.54,1.83,0.75,0.9,7.93
195,/article/jean-grey-cyclops-doll-x-men-97,1413,35.22,24.93,1.99,0.66,0.9,12.51
196,/article/why-did-okafor-kill-his-wife,1410,33.49,23.75,1.42,0.71,0.85,16.67
197,/article/road-house-2024-parents-guide,1406,24.71,17.57,1.38,0.62,0.94,12.67
198,/article/godzilla-x-kong-the-new-empire-shimo,1404,31.51,22.44,1.94,0.7,0.91,11.54
199,/article/why-jadis-father-gabriel-escape,1404,22.54,16.06,1.64,0.71,0.91,9.73
200,/article/spider-man-4-eyeing-justin-lin-director,1399,23.96,17.12,1.85,0.72,0.9,9.22
201,/article/godzilla-monsterverses-best-hidden-gem-movies,1399,27.69,19.79,1.78,0.69,0.91,11.08
202,/article/why-jadis-keep-the-ring,1389,21.97,15.82,1.69,0.71,0.9,9.35
203,/article/lord-toranaga-replacement-shogun,1387,25.5,18.38,1.68,0.7,0.88,10.9
204,/article/bob-marley-psalm-23,1349,9.03,6.7,0.68,0.76,0.99,9.79
205,/article/will-there-be-classroom-of-the-elite-season-4-release-date-news-predictions,1338,9.5,7.1,1.3,0.58,0.72,5.43
206,/article/where-to-read-the-apothecary-diaries-manga-light-novel-after-anime,1335,6.83,5.11,1.06,0.63,0.66,4.78
207,/article/star-trek-4-happening-new-screenwriter,1326,20.1,15.16,1.79,0.64,0.98,8.44
208,/article/amy-andrews-eyes,1284,25.25,19.67,1.54,0.74,0.95,12.7
209,/article/hokkaido-gals-are-super-adorable-season-2-release-date-news,1249,8.58,6.87,1.46,0.59,0.8,4.7
210,/article/what-does-itsuomi-tattoo-mean-a-sign-of-affection,1187,9.26,7.8,1.37,0.63,0.68,5.69
211,/article/rwby-volume-10-release-date-where-to-watch-trailer-all-details,1167,18.26,15.65,1.44,0.69,0.9,10.79
212,/article/why-is-delicious-in-dungeon-rated-ma-parents-guide,1124,16.51,14.69,1.41,0.66,0.96,10.35
213,/article/queen-of-tears-family-tree,1116,22.1,19.8,1.29,0.68,0.78,15.3
214,/article/are-all-the-walter-boys-related,1099,21.92,19.95,1.47,0.7,0.96,13.49
215,/article/what-happened-to-miranda-tsukimichi,1075,10.23,9.51,1.23,0.57,0.72,7.69
216,/article/is-emma-samanda-dead-ninja-kamui-theories,1069,5.37,5.02,1.06,0.69,0.63,4.72
217,/article/he-was-delicious-marry-my-husband,1055,8.27,7.84,1.24,0.67,0.7,6.28
218,/article/yuka-kouri-shogun,1054,8.13,7.71,1.03,0.65,0.86,7.48
219,/article/the-acolyte-trailer-release-star-wars-record,1041,10.95,10.52,1.35,0.62,0.96,7.78
220,/article/what-is-a-honki-person-bucchigiri,1037,11.8,11.38,1.65,0.61,0.82,6.87
221,/article/apothecary-diaries-maomao-finger,1025,6.34,6.19,0.98,0.7,0.66,6.31
222,/article/what-does-razbliuto-mean-great-pretender-title-explained,1009,14.02,13.89,1.49,0.75,0.9,9.28
223,/article/is-ordinary-angels-a-christian-movie,1007,14.78,14.67,1.66,0.74,0.94,8.83
224,/article/do-fuyuki-and-tsubasa-become-a-couple-hokkaido-gals,1006,9.57,9.52,1.28,0.63,0.8,7.39
225,/article/grover-song-percy-jackson,1005,9.88,9.83,1.26,0.51,0.91,7.76
226,/article/my-instant-death-ability-is-so-overpowered-season-2-release-date-news-predictions,981,4.36,4.44,1.05,0.61,0.62,4.2
227,/article/is-luto-stronger-than-makoto-tsukimichi,968,3.33,3.44,0.84,0.7,0.63,4.05
228,/article/lost-cosmonauts-constellation-apple-tv,943,17.5,18.56,1.53,0.73,0.9,12.07
229,/article/did-bill-paley-remarry-after-babe-died,934,13.7,14.67,0.91,0.78,0.98,16.05
230,/article/poppy-harlow-leaving-cnn,920,21.61,23.49,1.74,0.72,0.99,13.42
231,/article/rosie-coleman-constellation,883,11.56,13.1,1.25,0.68,0.94,10.42
232,/article/marry-my-husband-wedding-dress,879,13.91,15.83,1.81,0.67,0.93,8.72
233,/article/naruto-watching-guide-how-to-watch-naruto-in-order-with-no-filler,876,12.19,13.92,1.5,0.68,0.8,9.23
234,/article/bottom-tier-character-tomozaki-season-3-release-date-news-predictions,861,5.48,6.36,1.21,0.65,0.67,5.24
