"Task ID","Task Name","Assignee","Due Date","Priority","CMS LINK (url)","Retime frequency (drop down)","Status","Genre of Content (labels)"
"862k46dby","EA Sports FC - Budgets for all teams","[Nathan Salmon]","","none","https://content.gfinityesports.com/realsport-production/desk/workflow;mydraft;d5e948a6-1190-44b2-8169-86e167328f6a","","published",""
"862k7nyj5","EA FC - Player Career","[]","","none","https://content.gfinityesports.com/realsport-production/desk/workflow;nwreview;dd431a89-6d50-4098-b23c-a2520323bbca","","to update","[EA Sports FC]"
"862k79xt0","EA FC 24: Career Mode Coaches","[]","","none","https://content.gfinityesports.com/realsport-production/desk/workflow;nwreview;6a4c99aa-efc5-47ba-a721-fa8ab7e34bf4","","to update","[EA Sports FC]"
"863h6prdn","EA FC career mode - best sliders for realistic gameplay","[]","","none","","","to write",""
"862k7p1kg","EA FC Career Mode - tips and tricks","[]","","none","","","to write",""
"862kauu0t","EA FC - Best budget buys","[]","","none","","","to write",""
"862kbcnbz","EA Sports FC - Best Position Change Players","[]","","none","","","to write",""
"862kbff3d","EA Sports FC 24 Career Mode: All Basque Players to sign for Athletic Bilbao","[]","","none","","","to write",""
"862kbfmwt","EA Sports FC Career Mode Challenges","[]","","none","","","to write",""
"862kbg4d7","EA FC 24: Why Brighton is the best Career Mode save","[]","","none","","","to write",""
"862kam67j","Top Saudi Arabian Player Ratings and Talents in EA FC 24","[Riccardo Martone]","","none","https://latest-content.gfinityesports.com/realsport-production/desk/workflow;mydraft;9aa4b7e1-5b2e-489f-8583-8e396f093c1f","","complete",""
"862kbbjeu","EA FC Formation: NEW 4-2-1-3","[]","","none","https://realsport101.com/ea-sports-fc/new-ea-fc-24-formation-the-first-meta/","","complete",""
"861n6hbh6","EA FC 24: All New UT Champs and Draft Confirmed Changes","[]","Wednesday, August 9th 2023","none","https://latest-content.gfinityesports.com/realsport-production/desk/workflow;mydraft;c7b37144-75c7-41f8-97f6-caea84d4d43e","","to write",""
"861n6hbq3","EA FC 24: Ultimate Team Moments Co-Op","[Francisco Carriço]","Wednesday, August 9th 2023","none","https://latest-content.gfinityesports.com/realsport-production/desk/workflow;mydraft;e49af33e-a97b-4e5c-b773-5db5ef5ecbe4","","to write",""
"862k46cxg","EA Sports FC FUT - Best team for 50k coins","[]","","none","","","to write",""
"862k46cxm","EA Sports FC FUT - Best team for 100k coins","[]","","none","","","to write",""
"862k46cxv","EA Sports FC FUT - Best team for 200k coins","[]","","none","","","to write",""
"862k46cy1","EA Sports FC FUT - Best team for 500k coins","[]","","none","","","to write",""
"862k46cyx","EA Sports FC FUT - Best formations and tactics","[]","","none","","","to write",""
"862k46d03","EA Sports FC FUT - Trading tips guide","[]","","none","","","to write",""
"862k46dcx","EA Sports FC FUT - Chemistry guide","[]","","none","","","to write",""
"862k525rh","EA FC FUT - Tallest players","[]","","none","","","to write",""
"862k525td","EA FC FUT - Fastest players","[]","","none","","","to write",""
"862k525un","EA FC FUT - Best dribblers","[]","","none","","","to write",""
"862kbc5xh","EA FC Squad Battles: Rewards, Format, How to","[]","","none","","","to write",""
"862kbc5y9","EA FC - What is an SBC?","[]","","none","","","to write",""
"862kbchfh","EA FC 24: What are 'informs'","[]","","none","","","to write",""
"862kbchgq","EA FC 24: When does TOTW come out?","[]","","none","","","to write",""
"862kbchr9","EA FC 24: How to do the bronze pack trading method","[]","","none","","","to write",""
"862kbcj2p","EA FC 24: How to qualify for FUT Champions","[]","","none","","","to write",""
"862kbcjjy","EA FC 24: How to win FUT Draft","[]","","none","","","to write",""
"862k6769x","How To Transfer FIFA Points From FIFA 23 To EA FC 24","[]","Friday, July 28th 2023","none","https://content.gfinityesports.com/realsport-production/desk/workflow;mydraft;0c8e46aa-f588-45a2-a052-9036ca9d6732","","published",""
"862jx1rqf","Will the Bundesliga be in EA Sports FC?","[]","","none","https://latest-content.gfinityesports.com/realsport-production/desk/workflow;mydraft;f9d88846-2e7e-49be-b8f5-750928d9fd44","","published",""
"862jx1rnh","Will Luton Town be in EA Sports FC?","[]","","none","https://latest-content.gfinityesports.com/realsport-production/desk/workflow;mydraft;2017b9e9-3a92-4787-a0a5-cca9bfe891fc","","published",""
"862k2c2vf","Will Inter Miami be in EA Sports FC?","[]","","none","https://latest-content.gfinityesports.com/realsport-production/desk/workflow;mydraft;d11ab3e4-2fd9-4623-88ab-d2610aaa5c30","","published",""
