Pageviews,Page,URL,"Pub Date",Author,"Top Source","Avg Time","Estimated Time",Fb,Readability,"Finished Reading","Desktop Readability","Tablet Readability","Smartphone Readability",Recirculation,Categories,Subcategories
28188,"Do Akari and Jirou End up Together in More Than a Married Couple, But Not Lovers? | Epicstream",epicstream.com/article/do-akari-and-jirou-end-up-together-more-than-a-married-couple-but-not-lovers,"2022-11-02 14:11:44","Tarun Mazumdar","google - 100%",37.86,183,0,53%,15006,56%,36%,53%,6%,"Anime, Queries",
28076,"Boruto: Naruto Next Generations Part 2 Release Date, Trailer, Plot, and All You Need to Know! | Epicstream",epicstream.com/article/boruto-naruto-next-generations-part-2-release-date-trailer-plot-all-you-need-to-know,"2023-03-27 14:37:07","R.Y., Tarun Mazumdar","google - 99%",68.4,185,71,22%,6233,29%,28%,20%,4%,"Anime, Hubs, Boruto: Naruto Next Generations",
25854,"Where to Read the My Happy Marriage Manga Online | Epicstream",epicstream.com/article/where-to-read-my-happy-marriage-manga-online,"2023-07-13 09:48:06","Cathlyn Melo","google - 99%",33.04,200,0,28%,7263,34%,35%,27%,3%,"Anime, Manga, Queries",
24632,"20 Best Harem Anime to Watch in 2023 | Epicstream",epicstream.com/article/best-harem-anime,"2023-02-22 04:19:25","Tarun Mazumdar","google - 89%",46.45,59,0,52%,12780,63%,50%,49%,3%,"Anime, Manga, Queries",
24532,"Spy x Family Part 2 Dub Release Date: When Will It Be Dubbed in English? | Epicstream",epicstream.com/article/spy-x-family-dub-release-date-when-will-it-be-dubbed-in-english,"2022-10-19 04:36:10",R.Y.,"google - 100%",32.93,138,0,21%,5109,30%,17%,19%,2%,"Anime, Queries, Spy x Family",
24200,"Who Dies in Bleach: Thousand-Year Blood War? | Epicstream",epicstream.com/article/who-dies-in-bleach-thousand-year-blood-war,"2022-11-10 14:45:10",R.Y.,"google - 99%",66.63,180,0,26%,6243,37%,25%,24%,1%,"Anime, Manga, Queries, Bleach",
24101,"Ok Taecyeon Relationship: Who is Vincenzo Star’s Non-Celebrity Girlfriend?  | Epicstream",epicstream.com/article/ok-taecyeon-relationship-who-is-vincenzo-stars-non-celebrity-girlfriend,"2022-08-01 13:55:49","Geca Flores","google - 100%",42.73,140,0,32%,7730,37%,49%,31%,2%,"K-Wave, Kdrama",
24061,"The Mandalorian Season 4 Replaces Katee Sackhoff with Pedro Pascal's New Co-Lead  | Epicstream",epicstream.com/article/the-mandalorian-season-4-replaces-katee-sackhoff-with-pedro-pascals-new-co-lead,"2023-04-20 17:12:28","Bri Constantino","google - 99%",28.82,93,3847,46%,11005,67%,66%,45%,2%,"Star Wars, Geek Culture",
24056,"Lycoris Recoil Season 2 Release Date, Trailer, Everything We Know So Far! | Epicstream",epicstream.com/article/lycoris-recoil-season-2-release-date-trailer-everything-we-know-so-far,"2023-02-15 09:17:38","Cathlyn Melo","google - 99%",46.32,228,0,8%,1917,11%,12%,6%,5%,"Anime, Hubs, Lycoris Recoil",
23653,"Where to Watch and Stream Exploits of a Young Don Juan Free Online | Epicstream",epicstream.com/article/where-to-watch-and-stream-exploits-of-a-young-don-juan-free-online,"2022-06-01 15:42:20","Epicstream Team","google - 97%",16.07,104,0,29%,6838,32%,28%,29%,5%,"Where to Watch",
23361,"The Complete DanMachi Watch Order: Which Order to Watch Series, OVA, Movies | Epicstream",epicstream.com/article/danmachi-watch-order-series-ova-movies,"2022-07-15 16:29:15","Will Taylor","google - 97%",53.16,253,0,7%,1537,10%,10%,5%,1%,Anime,
22228,"My Life as Inukai-san’s Dog Anime Reveals Uncensored NSFW Trailer | Epicstream",epicstream.com/article/my-life-as-inukai-san-dog-anime-uncensored-nsfw-trailer,"2022-11-11 13:11:45","Nicolo Manaloto","google - 99%",16.5,144,17,25%,5483,40%,15%,19%,4%,"Anime News, Anime",
21790,"Chainsaw Man Volume 12 English Release Date, Cover, Where to Buy, and More! | Epicstream",epicstream.com/article/chainsaw-man-volume-12-english-release-date-cover-where-to-buy,"2022-11-04 06:23:06","Cathlyn Melo","google - 100%",27.76,237,0,9%,1927,19%,8%,6%,1%,"Anime, Queries, Manga, Chainsaw Man",
21548,"Were The 365 Days Raunchy Sex Scenes Real? | Epicstream",epicstream.com/article/365-sex-scenes-real,"2023-03-31 20:45:06","Jake Vyper, Margarita Rances","google - 100%",57.15,152,0,20%,4327,24%,24%,20%,1%,"Netflix, Queries",
21029,"Ghost Fighter: What Are the YYH Characters' Names in Tagalog? | Epicstream",epicstream.com/article/ghost-fighter-characters-tagalog-names,"2023-12-15 14:52:06","Cathlyn Melo","google - 92%",68.91,194,74,30%,6225,39%,25%,29%,1%,"Anime, Queries, Yu Yu Hakusho",
20565,"Will There Be a Beast Tamer Season 2? Release Date News and Predictions | Epicstream",epicstream.com/article/will-there-be-beast-tamer-season-2-release-date-news-predictions,"2022-12-29 17:35:02","Tarun Mazumdar","google - 100%",35.05,131,0,19%,4005,28%,25%,16%,4%,"Anime, Queries",
20285,"Is Kanye West Dead? Rumors That Kim Kardashian's Ex Reportedly Passed Away Amid 'Missing' Status Spread Online | Epicstream",epicstream.com/article/kanye-west-dead-kim-kardashian-ex-reportedly-passed-away-amid-missing-status,"2023-01-01 04:45:40","Jaja Agpalo","google - 100%",24.65,213,55,5%,947,19%,0%,4%,1%,"Pop Culture",
20187,"12 BL Anime Movies to Watch of All Time | Epicstream",epicstream.com/article/bl-anime-movies-to-watch,"2023-02-03 10:38:47","Cathlyn Melo","google - 99%",45.9,24,0,49%,9981,51%,56%,49%,3%,"Anime, Queries, Lists",
20130,"The Eminence in Shadow: Who Knows That Cid Is Shadow? | Epicstream",epicstream.com/article/the-eminence-in-shadow-who-knows-cid-is-shadow,"2022-11-28 09:00:23",R.Y.,"google - 98%",30.35,148,0,42%,8473,49%,40%,39%,4%,"Anime, Queries",
19801,"Tokyo Revengers Season 2 Dub Release Date: When Will It Be Dubbed in English? | Epicstream",epicstream.com/article/tokyo-revengers-season-2-english-dub-release-date,"2023-01-06 05:51:37","Cathlyn Melo","google - 99%",34.08,193,0,8%,1486,14%,10%,6%,2%,"Anime, Queries, Tokyo Revengers",
19753,"Code Geass Watch Order: Anime Series and Movie, Where to Start | Epicstream",epicstream.com/article/code-geass-watch-order-where-to-start-with-anime-series-and-movie,"2022-03-18 12:16:40","Will Taylor","google - 96%",45.36,311,0,12%,2325,15%,15%,10%,1%,"Anime, Code Geass",
19524,"The Most Disturbing Moments in Made in Abyss (So Far) Ranked: | Epicstream",epicstream.com/article/the-most-disturbing-moments-in-made-in-abyss-ranked,"2022-08-15 11:15:29","Cathlyn Melo","google - 97%",83,38,0,58%,11250,59%,60%,57%,3%,Anime,
19406,"The 20 Best BL Manga to Read of All Time | Epicstream",epicstream.com/article/best-bl-manga-to-read,"2023-02-06 07:57:49","Cathlyn Melo","google - 99%",48.58,38,0,50%,9626,55%,51%,48%,1%,"Anime, Manga, Queries, Lists",
19272,"Where to Read the Zom 100 Manga Online | Epicstream",epicstream.com/article/where-to-read-zom-100-manga-online,"2023-07-07 10:43:03","Cathlyn Melo","google - 100%",20.75,202,0,12%,2236,15%,15%,10%,1%,"Anime, Manga, Zom 100",
18990,"Where to Watch All The Transformers Movies For Free Online - June 2023 Update | Epicstream",epicstream.com/article/is-transformers-on-netflix-disney-plus-hulu-hbo-max-amazon-prime-or-paramount-plus,"2023-03-31 20:57:10","Margarita Rances","google - 99%",42.25,182,0,23%,4424,25%,24%,23%,2%,"Fantasy & Science Fiction, Where to Watch, Transformers",
18961,"Vinland Saga Season 2 Dub Release Date: When Will It Be Dubbed in English? | Epicstream",epicstream.com/article/vinland-saga-season-2-english-dub-release-date,"2023-01-24 13:12:34","Tarun Mazumdar","google - 99%",45,128,0,26%,4873,37%,25%,24%,3%,"Anime, Queries, Vinland Saga",
18876,"12 Demon Moons in Demon Slayer Ranked: Who Are They and What Are Their Powers? | Epicstream",epicstream.com/article/12-demon-moons-in-demon-slayer-ranked-who-are-they-and-what-are-their-powers,"2023-01-30 10:09:02",R.Y.,"google - 98%",70.92,74,20,58%,11029,55%,44%,60%,3%,"Anime, Queries, Demon Slayer",
18710,"Horimiya Did They Do It in Episode 7? What Happened With Horimiya and Miyamura and if They Slept Together | Epicstream",epicstream.com/article/horimiya-did-they-do-it-in-episode-7-what-happened-with-horimiya-and-miyamura-and-if-they-slept-together,"2021-02-22 10:50:39","Margarita Rances","google - 96%",62.07,224,0,31%,5788,35%,35%,30%,3%,Anime,
18642,"Where Does Spy x Family's Anime End in the Manga? | Epicstream",epicstream.com/article/where-does-spy-x-family-anime-end-in-manga,"2023-01-11 09:58:05","Cathlyn Melo","google - 99%",35.41,188,0,16%,3027,24%,20%,14%,2%,"Anime, Manga, Queries, Spy x Family",
18531,"Do The Forgers Find Out About Each Other in Spy x Family? | Epicstream",epicstream.com/article/do-the-forgers-find-out-about-each-other-in-spy-x-family,"2022-06-27 16:05:58","Will Taylor","google - 100%",49.34,222,0,22%,3990,31%,25%,19%,2%,"Anime, Manga, Spy x Family, Queries",
